Date,AMZN,BJ,COST,DG,DLTR,HD,KR,LOW,PSMT,SFM,TGT,WMT,^GSPC,^IXIC
2026-01-02,226.5,91.91999816894531,852.0977783203125,135.59597778320312,127.69999694824219,340.96588134765625,62.31753921508789,244.6119842529297,122.77545928955078,80.63999938964844,98.56681060791016,112.3147201538086,6858.47021484375,23235.630859375
2026-01-05,233.05999755859375,93.16999816894531,873.278076171875,137.6870880126953,128.57000732421875,339.2601623535156,61.159481048583984,242.49172973632812,126.58824157714844,79.94000244140625,100.12606048583984,112.26490783691406,6902.0498046875,23395.8203125
2026-01-06,240.92999267578125,90.87999725341797,886.6004638671875,144.0071258544922,133.77999877929688,344.3871765136719,61.10999298095703,244.21568298339844,126.56832885742188,77.0,102.28353118896484,113.88846588134766,6944.81982421875,23547.169921875
2026-01-07,241.55999755859375,88.19000244140625,880.098876953125,142.8326873779297,131.55999755859375,344.1603698730469,58.67509078979492,244.83985900878906,127.04617309570312,74.7300033569336,101.66571044921875,112.27487182617188,6920.93017578125,23584.279296875
2026-01-08,246.2899932861328,90.20999908447266,912.73681640625,143.32037353515625,131.61000061035156,354.51300048828125,59.17988967895508,253.84597778320312,132.8300323486328,77.08999633789062,104.27428436279297,112.62348937988281,6921.4599609375,23480.01953125
2026-01-09,247.3800048828125,89.94000244140625,922.2799682617188,142.0663299560547,132.3800048828125,369.38134765625,58.90274429321289,264.7445068359375,133.845458984375,77.19999694824219,103.47993469238281,114.07772827148438,6966.27978515625,23671.349609375
2026-01-12,246.47000122070312,91.94000244140625,940.4287719726562,148.15744018554688,137.24000549316406,369.6771240234375,60.486419677734375,268.39056396484375,135.0301055908203,80.19999694824219,104.08795166015625,117.50414276123047,6977.27001953125,23733.900390625
2026-01-13,242.60000610351562,95.41000366210938,939.281982421875,150.53616333007812,137.3699951171875,374.4097595214844,60.842750549316406,271.71954345703125,136.24462890625,81.05999755859375,106.5298080444336,119.88469696044922,6963.740234375,23709.869140625
2026-01-14,236.64999389648438,95.93000030517578,948.3065185546875,150.23756408691406,140.2899932861328,370.6729736328125,61.8226432800293,272.4130859375,141.02304077148438,81.41999816894531,107.69680786132812,119.56596374511719,6926.60009765625,23471.75
2026-01-15,238.17999267578125,94.91000366210938,954.060302734375,151.01388549804688,141.2100067138672,373.837890625,61.85234069824219,274.4540710449219,140.1669158935547,81.51000213623047,108.98147583007812,118.72927856445312,6944.47021484375,23530.01953125
2026-01-16,239.1199951171875,93.4000015258789,960.9010620117188,148.0380096435547,139.9499969482422,374.833740234375,62.545196533203125,274.98907470703125,140.2266387939453,78.58999633789062,109.12857818603516,119.22730255126953,6940.009765625,23515.390625
2026-01-20,231.0,92.16999816894531,961.5492553710938,145.93797302246094,134.05999755859375,369.8447265625,62.50560760498047,265.9234924316406,140.18682861328125,72.55000305175781,107.22608184814453,118.24121856689453,6796.85986328125,22954.3203125
2026-01-21,231.30999755859375,94.6500015258789,980.096923828125,146.46546936035156,132.94000244140625,379.2409973144531,63.26774597167969,275.7861633300781,145.1543731689453,71.31999969482422,103.9898910522461,118.8886489868164,6875.6201171875,23224.8203125
2026-01-22,234.33999633789062,96.0,973.4257202148438,143.9175567626953,126.79000091552734,375.681640625,62.01070785522461,273.6365051269531,141.3714599609375,70.55000305175781,104.44099426269531,117.36469268798828,6913.35009765625,23436.01953125
2026-01-23,239.16000366210938,97.44999694824219,980.48583984375,146.22659301757812,128.9199981689453,378.3831787109375,63.59437942504883,275.4079895019531,140.06735229492188,71.44000244140625,106.01006317138672,117.26509094238281,6915.60986328125,23501.240234375
2026-01-26,238.4199981689453,97.62000274658203,974.9215087890625,149.62049865722656,125.4000015258789,381.1044616699219,63.04009246826172,276.5823669433594,142.08822631835938,72.45999908447266,101.95010375976562,117.17544555664062,6950.22998046875,23601.359375
2026-01-27,244.67999267578125,95.45999908447266,967.5523071289062,146.96310424804688,121.83999633789062,375.02105712890625,61.47621536254883,272.6313171386719,141.36151123046875,70.88999938964844,102.08739471435547,116.47821044921875,6978.60009765625,23817.099609375
2026-01-28,243.00999450683594,91.58000183105469,958.0790405273438,144.35545349121094,119.0999984741211,370.0320739746094,61.18917465209961,268.1329345703125,141.36151123046875,70.16000366210938,99.77302551269531,116.10967254638672,6978.02978515625,23857.44921875
2026-01-29,241.72999572753906,90.2699966430664,950.211181640625,141.11085510253906,117.30999755859375,366.591064453125,61.11988830566406,265.3662109375,144.40774536132812,70.66000366210938,100.85175323486328,116.94635772705078,6969.009765625,23685.119140625
2026-01-30,239.3000030517578,92.44000244140625,938.8876342773438,142.7530517578125,117.58999633789062,369.33203125,62.20866394042969,265.7841796875,141.57057189941406,70.91000366210938,103.430908203125,118.66951751708984,6939.02978515625,23461.8203125
2026-02-02,242.9600067138672,92.30000305175781,966.9569091796875,142.8326873779297,117.22000122070312,372.8124694824219,62.416526794433594,267.7746276855469,142.81495666503906,69.58999633789062,107.41241455078125,123.5700912475586,6976.43994140625,23592.109375
2026-02-03,238.6199951171875,95.80000305175781,976.5030517578125,147.34130859375,119.69000244140625,375.75067138671875,63.515193939208984,273.5369873046875,146.5679931640625,68.11000061035156,109.14820098876953,127.20567321777344,6917.81005859375,23255.189453125
2026-02-04,232.99000549316406,98.58000183105469,976.9324340820312,148.54559326171875,121.83000183105469,381.7650451660156,66.11836242675781,274.5321960449219,147.4241180419922,69.4800033569336,111.92347717285156,127.4945297241211,6882.72021484375,22904.580078125
2026-02-05,222.69000244140625,99.27999877929688,987.8565673828125,144.21612548828125,119.5999984741211,377.0028076171875,65.98968505859375,273.5767822265625,150.6197052001953,66.33999633789062,108.70689392089844,126.438720703125,6798.39990234375,22540.58984375
2026-02-06,210.32000732421875,100.4000015258789,999.7093505859375,145.95785522460938,123.83000183105469,379.7438049316406,66.81121063232422,277.05010986328125,156.1248321533203,67.31999969482422,113.31603240966797,130.66197204589844,6932.2998046875,23031.2109375
2026-02-09,208.72000122070312,100.27999877929688,996.1445922851562,146.67446899414062,123.16999816894531,375.6520690917969,69.38468170166016,275.5672302246094,155.427978515625,65.8499984741211,113.28660583496094,128.51051330566406,6964.81982421875,23238.669921875
2026-02-10,206.9600067138672,97.79000091552734,969.82275390625,145.55975341796875,121.91999816894531,384.2102355957031,67.3259048461914,283.31005859375,153.7953643798828,65.55999755859375,111.04088592529297,126.19966888427734,6941.81005859375,23102.470703125
2026-02-11,204.0800018310547,99.5199966430664,976.7227783203125,146.46546936035156,125.0,385.1961975097656,67.95938873291016,285.6687316894531,154.42251586914062,65.66999816894531,113.53730010986328,128.26148986816406,6941.47021484375,23066.470703125
2026-02-12,199.60000610351562,100.55999755859375,997.4127197265625,147.85885620117188,128.42999267578125,384.7426452636719,69.42427825927734,284.16595458984375,154.29310607910156,67.62999725341797,111.63526916503906,133.1122589111328,6832.759765625,22597.150390625
